SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
C1CN=C(NC(C2CC2)C3CC3)O1,7.88,,67.0,67.0,67.0,65.0,58.0,29.0,5.2,1.2,0.7,0.67,-0.52,-0.52,-0.52,-0.52,-0.47,-0.16,0.58,1.24,1.45,1.48,1.34,,,,1.0,1,0
C1CNCCN1,9.55,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-5.6,-5.6,-5.58,-5.44,-4.98,-4.54,-3.95,-3.05,-2.16,-1.63,371.0,0.6029,106,146,1.0,1,0
C1COCCO1,,,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,283.0,0.6406,,,1.0,0,0
C1N2CN3CN1CN(C2)C3,5.28,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-3.39,-3.07,-2.39,-1.46,-0.63,-0.24,-0.18,-0.17,-0.17,-0.17,766.0,,,,1.0,1,0
C=CN1CCCC1=O,-0.34,,16.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.35,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,,,,,,1,0
C=COC=C,,,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,2.8,,,,1.0,0,0
C=O,,,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,6.37,0.7834,92,-191.5,1.0,0,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,5.49,12.94,0.0018,0.0016,0.00086,0.00016,2.2e-05,7.3e-06,6e-06,5.6e-06,5.6e-06,5.6e-06,3.7,3.74,4.01,4.75,5.6,6.08,6.18,6.19,6.19,6.19,,0.6716,193.5,,1.0,1,1
CC(=C)C1CCC(=CC1)C,,,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,0.457,,,,1.0,0,0
CC(=O)C(O)=O,,2.65,210.0,252.0,665.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,-1.25,-1.33,-1.75,-2.61,-3.57,-4.44,-4.89,-4.98,-4.99,-4.99,1000.0,-0.6934,13.8,54,1.0,0,1
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C,,,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,,,145,467.17,1.0,0,0
CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)C2=C(O)Oc3ccccc3C2=O,,4.5,0.006,0.006,0.0064,0.0081,0.025,0.2,1.8,9.5,18.0,19.0,2.97,2.97,2.96,2.85,2.35,1.46,0.51,-0.23,-0.49,-0.52,,0.5,197.5,,1.0,0,1
CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,,4.5,0.019,0.019,0.02,0.026,0.08,0.62,5.5,31.0,55.0,62.0,3.13,3.13,3.12,3.01,2.51,1.62,0.67,-0.07,-0.33,-0.37,0.017,0.8867,161,,1.0,0,1
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-0.51,3.55,0.25,0.25,0.32,0.93,6.4,35.0,71.0,77.0,77.0,77.0,1.23,1.23,1.14,0.66,-0.19,-0.93,-1.21,-1.25,-1.26,-1.26,0.113,,,,1.0,1,1
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c2c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c2I,-2.42,11.04,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,-4.07,-4.07,-4.07,-4.07,-4.07,-4.07,-4.07,-4.07,-4.07,-4.08,0.185,-0.6448,,,0.0,1,1
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,-2.72,11.35,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92,-2.93,0.796,-0.6474,177,,0.0,1,1
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,-2.97,11.47,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.45,-2.47,0.559,,,,0.0,1,1
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,10.56,9.08,998.0,998.0,998.0,998.0,998.0,410.0,50.0,6.2,2.2,24.0,-3.73,-3.71,-3.71,-3.71,-3.71,-3.69,-3.56,-3.05,-2.7,-3.69,12.0,-0.8957,140,,0.0,1,1
CC(=O)N(c1onc(C)c1C)[S](=O)(=O)c2ccc(N)cc2,-0.17,,0.049,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,2.12,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,0.136,,193.5,,1.0,1,0
CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,5.75,15.53,120.0,110.0,74.0,19.0,2.5,0.57,0.37,0.37,0.37,0.37,-2.06,-2.03,-1.87,-1.26,-0.38,0.25,0.42,0.45,0.45,0.45,3.0,0.8866,,,1.0,1,1
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,-0.83,1.08,1.0,5.4,46.0,290.0,620.0,703.0,716.0,716.0,716.0,716.0,1.11,0.38,-0.55,-1.35,-1.68,-1.73,-1.74,-1.74,-1.74,-1.74,0.0577,,,,1.0,1,1
CC(=O)NO,,9.26,258.0,258.0,258.0,258.0,258.0,258.0,260.0,273.0,399.0,1000.0,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.25,-0.42,-1.04,509.0,-0.5723,90.5,,1.0,0,1
CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,-0.89,13.04,365.0,363.0,363.0,363.0,363.0,363.0,363.0,363.0,363.0,363.0,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,-2.82,148.0,,,,1.0,1,1
CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N,11.56,3.82,947.0,230.0,30.0,6.6,4.3,4.0,4.0,4.0,4.0,4.0,-3.87,-3.87,-3.91,-4.09,-4.31,-4.36,-4.36,-4.36,-4.37,-4.39,7.31,-0.7094,,,0.0,1,1
CC(=O)N[S](=O)(=O)c1ccc(N)cc1,0.93,5.43,36.0,17.0,15.0,15.0,18.0,47.0,285.0,1000.0,1000.0,1000.0,-1.34,-1.02,-0.97,-0.97,-1.05,-1.46,-2.24,-2.8,-2.94,-2.96,4.21,-0.5396,183,,1.0,1,1
CC(=O)Nc1c(I)cc(I)c(C(O)=O)c1I,-2.61,1.13,0.67,3.3,28.0,190.0,460.0,530.0,530.0,530.0,530.0,540.0,2.04,1.35,0.42,-0.41,-0.78,-0.85,-0.85,-0.86,-0.86,-0.86,,,,547,1.0,1,1
CC(=O)Nc1cc(ccc1O)[As]2SCC(CO)S2,1.07,7.93,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1
CC(=O)Nc1ccc(O)cc1,1.72,9.86,48.0,18.0,15.1,15.0,15.0,15.0,15.0,15.0,17.0,33.0,-0.04,0.39,0.47,0.47,0.48,0.48,0.47,0.47,0.42,0.12,0.0468,-0.5343,,,1.0,1,1
CC(=O)Nc1ccc(cc1)/C=N/NC(N)=S,1.03,11.35,0.16,0.1,0.097,0.097,0.097,0.097,0.097,0.097,0.099,0.11,1.27,1.46,1.48,1.48,1.49,1.49,1.48,1.48,1.48,1.42,0.0505,,,,1.0,1,1
CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,-4.77,13.75,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.583,,,,1.0,1,1
CC(=O)Nc1sc(nn1)[S](N)(=O)=O,-3.37,7.44,2.9,2.9,2.9,2.9,2.9,3.1,4.7,21.0,120.0,367.0,-0.26,-0.26,-0.26,-0.26,-0.26,-0.29,-0.49,-1.13,-1.9,-2.37,0.98,-0.7761,260.5,,1.0,1,1
CC(=O)OC1CN2CCC1CC2,9.22,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,572.0,88.0,39.0,-2.84,-2.84,-2.84,-2.83,-2.81,-2.59,-1.91,-0.98,-0.16,0.2,226.0,,,,1.0,1,0
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,8.97,14.23,1000.0,1000.0,1000.0,1000.0,1000.0,794.0,130.0,15.0,2.9,1.6,-1.11,-1.11,-1.1,-1.1,-1.05,-0.73,0.05,0.99,1.71,1.96,0.0612,-0.6032,145.5,,1.0,1,1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,,12.05,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.11,0.025,,,,1.0,0,1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,,12.41,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.25,0.0417,,,,1.0,0,1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C,,12.47,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,0.0334,-0.6606,,,1.0,0,1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,,12.32,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,0.02,-0.6606,228,,1.0,0,1
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,,12.42,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.029,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,0.0582,,,,1.0,0,1
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C,3.86,14.3,2.9,1.5,0.29,0.062,0.035,0.033,0.032,0.032,0.032,0.032,0.09,0.37,1.1,1.78,2.01,2.04,2.04,2.04,2.04,2.04,,,,,1.0,1,1
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C,,12.77,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,0.00474,-0.5804,309,,1.0,0,1
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O,4.0,,48.0,21.0,3.2,0.48,0.21,0.18,0.17,0.17,0.17,0.17,-2.55,-2.19,-1.39,-0.57,-0.19,-0.12,-0.12,-0.12,-0.12,-0.12,1.32,-0.603,103,,1.0,1,0
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC#N)C2=O)C(O)=O,-1.98,2.67,0.71,0.85,2.2,17.0,270.0,1000.0,1000.0,1000.0,1000.0,1000.0,-1.61,-1.69,-2.1,-2.99,-4.2,-5.69,-6.3,-6.35,-6.35,-6.35,2.43,-0.754,169,,1.0,1,1
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O,,,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,0.00415,,,,1.0,0,0
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,,,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,,0.651,219,,1.0,0,0
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,,,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,0.00152,0.7033,200.5,,1.0,0,0
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,-1.68,11.2,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.0011,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.45,2.39,,-0.8252,232,,0.0,1,1
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,-2.19,11.9,0.00024,0.00024,0.00024,0.00024,0.00024,0.00024,0.00024,0.00024,0.00024,0.00025,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.94,,-0.8957,216.5,,0.0,1,1
CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1,,,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,0.00397,0.6125,126.5,,1.0,0,0
CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C,,11.0,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.82,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.4,2.36,1.1,-0.6796,,,1.0,0,1
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CC=C4C=C(CC[C@@H]4[C@H]3CC[C@]12C)OC5CCCC5)C#C,,,5.7e-05,5.7e-05,5.7e-05,5.7e-05,5.7e-05,5.7e-05,5.7e-05,5.7e-05,5.7e-05,5.7e-05,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,0.00175,,,,1.0,0,0
CC(=O)Oc1cc(ccc1C(O)=O)C(F)(F)F,,2.97,0.16,0.18,0.32,1.9,16.0,97.0,200.0,220.0,230.0,230.0,3.15,3.12,2.84,2.1,1.16,0.38,0.06,0.02,0.01,0.01,,,115.5,,1.0,0,1
CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,4.69,,1.8,1.2,0.27,0.036,0.0094,0.0065,0.0061,0.0061,0.0061,0.0061,0.98,1.17,1.81,2.69,3.28,3.43,3.45,3.45,3.45,3.45,0.00127,,,,1.0,1,0
CC(=O)Oc1ccc(cc1)[C](=[C]2CC[CH2]CC2)c3ccc(OC(C)=O)cc3,,,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,0.00098,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,0.000792,,,,1.0,0,0
CC(=O)Oc1ccc2C3CC[C@]4(C)[C@@H](O)CCC4C3CCc2c1,,15.06,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,0.00183,,,,1.0,0,1
CC(=O)Oc1cccc2C(=O)c3cc(cc(OC(C)=O)c3C(=O)c12)C(O)=O,,3.01,5.9e-05,6.6e-05,0.00012,0.00063,0.0055,0.035,0.074,0.081,0.085,0.085,3.12,3.09,2.83,2.09,1.16,0.36,0.03,-0.02,-0.02,-0.02,0.0407,,,,1.0,0,1
CC(=O)Oc1ccccc1C(=O)Nc2sc(cn2)[N+]([O-])=O,-1.32,6.18,0.016,0.016,0.016,0.016,0.017,0.026,0.11,0.65,1.4,1.6,2.74,2.74,2.74,2.74,2.71,2.52,1.89,1.13,0.8,0.75,,-0.5571,202,394,1.0,1,1
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2,-1.08,13.63,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,0.00176,,,,1.0,1,1
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,,,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,0.00198,0.5432,134.5,201,1.0,0,0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,,12.99,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,0.0122,,,,1.0,0,1
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,13.03,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,0.0293,,,,1.0,0,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,0.00486,0.7724,168.5,,1.0,0,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,15.0,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,0.0136,0.8568,,,1.0,0,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,,0.7724,130,394.13,1.0,0,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,15.12,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,0.00136,,,,1.0,0,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,,15.05,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,0.0242,,,,1.0,0,1
CC(=O)c1ccc(cc1)[S](=O)(=O)NC(=O)NC2CCCCC2,-1.69,4.32,0.078,0.078,0.084,0.16,0.84,3.9,7.1,7.5,7.8,7.8,2.44,2.44,2.39,2.12,1.4,0.72,0.48,0.44,0.44,0.44,3.43,-0.6272,189,,1.0,1,1
CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1,7.39,14.96,975.0,696.0,240.0,82.0,20.0,2.5,0.33,0.11,0.082,0.082,-1.24,-1.09,-0.62,-0.17,0.44,1.36,2.24,2.73,2.83,2.84,0.0601,-0.5303,167.75,,1.0,1,1
CC(C(O)=O)c1ccc(CC2CCCC2=O)cc1,,4.39,0.37,0.37,0.39,0.54,1.9,16.0,140.0,892.0,1000.0,1000.0,1.69,1.69,1.67,1.54,0.99,0.08,-0.89,-1.68,-2.0,-2.05,47.0,,109.75,220.7,1.0,0,1
CC(C(O)=O)c1ccc(N2CC=CC2)c(Cl)c1,3.53,4.56,200.0,35.0,5.3,2.2,4.3,28.0,250.0,999.0,999.0,999.0,-0.08,0.62,1.44,1.81,1.53,0.73,-0.23,-1.09,-1.51,-1.59,1.21,,,,1.0,1,1
